sleep_id,start_time,end_time,time_offset,stage
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 05:46:00.000,2021-11-03 05:48:00.000,UTC-0300,40002
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 05:48:00.000,2021-11-03 05:55:00.000,UTC-0300,40003
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 05:55:00.000,2021-11-03 06:16:00.000,UTC-0300,40002
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 06:16:00.000,2021-11-03 06:24:00.000,UTC-0300,40003
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 06:24:00.000,2021-11-03 06:25:00.000,UTC-0300,40002
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 06:25:00.000,2021-11-03 06:30:00.000,UTC-0300,40003
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 06:30:00.000,2021-11-03 06:37:00.000,UTC-0300,40002
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 06:37:00.000,2021-11-03 06:38:00.000,UTC-0300,40001
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 06:38:00.000,2021-11-03 06:39:00.000,UTC-0300,40002
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 06:39:00.000,2021-11-03 06:40:00.000,UTC-0300,40001
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 06:40:00.000,2021-11-03 06:53:00.000,UTC-0300,40004
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 06:53:00.000,2021-11-03 06:54:00.000,UTC-0300,40002
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 06:54:00.000,2021-11-03 06:55:00.000,UTC-0300,40001
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 06:55:00.000,2021-11-03 07:06:00.000,UTC-0300,40002
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 07:06:00.000,2021-11-03 07:07:00.000,UTC-0300,40001
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 07:07:00.000,2021-11-03 07:08:00.000,UTC-0300,40002
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 07:08:00.000,2021-11-03 07:16:00.000,UTC-0300,40003
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 07:16:00.000,2021-11-03 07:39:00.000,UTC-0300,40002
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 07:39:00.000,2021-11-03 07:48:00.000,UTC-0300,40004
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 07:48:00.000,2021-11-03 07:49:00.000,UTC-0300,40001
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 07:49:00.000,2021-11-03 07:55:00.000,UTC-0300,40004
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 07:55:00.000,2021-11-03 08:39:00.000,UTC-0300,40002
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 08:39:00.000,2021-11-03 08:47:00.000,UTC-0300,40004
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 08:47:00.000,2021-11-03 08:49:00.000,UTC-0300,40001
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 08:49:00.000,2021-11-03 08:58:00.000,UTC-0300,40004
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 08:58:00.000,2021-11-03 08:59:00.000,UTC-0300,40001
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 08:59:00.000,2021-11-03 09:05:00.000,UTC-0300,40004
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 09:05:00.000,2021-11-03 09:17:00.000,UTC-0300,40002
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 09:17:00.000,2021-11-03 09:23:00.000,UTC-0300,40004
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 09:23:00.000,2021-11-03 09:24:00.000,UTC-0300,40001
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 09:24:00.000,2021-11-03 10:22:00.000,UTC-0300,40002
aa6edb41-2a73-e3bd-cf6d-5378834fe983,2021-11-03 10:22:00.000,2021-11-03 10:23:00.000,UTC-0300,40001
