fecha,hora,valor,codigo_fase
2021-11-04,07:49:00,7.49,3
2021-11-04,08:43:00,8.43,1
2021-11-04,08:43:00,8.43,3
2021-11-04,08:45:00,8.45,1
2021-11-04,08:45:00,8.45,3
2021-11-04,08:48:00,8.48,1
2021-11-04,08:48:00,8.48,3
2021-11-04,08:51:00,8.51,1
2021-11-04,08:51:00,8.51,2
2021-11-04,08:58:00,8.58,1
2021-11-04,08:58:00,8.58,2
2021-11-04,09:04:00,9.04,1
2021-11-04,09:04:00,9.04,2
2021-11-04,09:18:00,9.18,1
2021-11-04,09:18:00,9.18,2
2021-11-04,09:19:00,9.19,1
2021-11-04,09:19:00,9.19,3
2021-11-04,09:42:00,9.42,1
2021-11-04,09:42:00,9.42,3
2021-11-04,09:45:00,9.45,1
2021-11-05,02:58:00,2.58,3
2021-11-05,03:03:00,3.03,3
2021-11-05,03:03:00,3.03,4
2021-11-05,03:18:00,3.18,3
2021-11-05,03:18:00,3.18,4
2021-11-05,03:25:00,3.25,3
2021-11-05,03:25:00,3.25,4
2021-11-05,03:40:00,3.4,3
2021-11-05,03:40:00,3.4,4
2021-11-05,04:10:00,4.1,1
2021-11-05,04:10:00,4.1,3
2021-11-05,04:11:00,4.11,1
2021-11-05,04:11:00,4.11,3
2021-11-05,04:12:00,4.12,1
2021-11-05,04:12:00,4.12,3
2021-11-05,04:13:00,4.13,1
2021-11-05,04:13:00,4.13,3
2021-11-05,04:38:00,4.38,1
2021-11-05,04:38:00,4.38,3
2021-11-05,04:39:00,4.39,1
2021-11-05,04:39:00,4.39,3
2021-11-05,04:44:00,4.44,2
2021-11-05,04:44:00,4.44,3
2021-11-05,04:49:00,4.49,2
2021-11-05,04:49:00,4.49,3
2021-11-05,05:17:00,5.17,2
2021-11-05,05:17:00,5.17,3
2021-11-05,05:22:00,5.22,1
2021-11-05,05:22:00,5.22,2
2021-11-05,05:23:00,5.23,1
2021-11-05,05:23:00,5.23,2
2021-11-05,05:40:00,5.4,2
2021-11-05,05:40:00,5.4,3
2021-11-05,06:01:00,6.01,1
2021-11-05,06:01:00,6.01,3
2021-11-05,06:02:00,6.02,1
2021-11-05,06:02:00,6.02,3
2021-11-05,06:03:00,6.03,2
2021-11-05,06:03:00,6.03,3
2021-11-05,06:15:00,6.15,1
2021-11-05,06:15:00,6.15,2
2021-11-05,06:16:00,6.16,1
2021-11-05,06:16:00,6.16,2
2021-11-05,06:34:00,6.34,2
2021-11-05,06:34:00,6.34,3
2021-11-05,07:12:00,7.12,3
2021-11-05,07:12:00,7.12,4
2021-11-05,07:16:00,7.16,3
2021-11-05,07:16:00,7.16,4
2021-11-05,07:17:00,7.17,3
2021-11-05,07:17:00,7.17,4
2021-11-05,07:25:00,7.25,3
2021-11-05,07:25:00,7.25,4
2021-11-05,07:32:00,7.32,2
2021-11-05,07:32:00,7.32,3
2021-11-05,07:38:00,7.38,1
2021-11-05,07:38:00,7.38,2
2021-11-05,07:39:00,7.39,1
2021-11-05,07:39:00,7.39,3
2021-11-05,07:42:00,7.42,1
2021-11-05,07:42:00,7.42,3
2021-11-05,07:43:00,7.43,1
2021-11-05,07:43:00,7.43,2
2021-11-05,07:56:00,7.56,1
